Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
ADR13;DRIFT;org.apache.hadoop.hbase.util.Methods;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.security.UserProvider;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.OrderedInt64;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.test.LoadTestKVGenerator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.StructBuilder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.RetryCounterFactory;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.MD5Hash;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.encoding.CompressionState;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.ConcurrentIndex;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$SeekerState;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.CompoundConfiguration;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.DefaultEnvironmentEdge;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffCompressionState;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.Pair;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.codec.CellCodecWithTags$CellEncoder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.OrderedBytes;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.codec.CellCodec$CellDecoder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.encoding.EncoderBufferTooSmallException;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.RawByte;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.AbstractPositionedByteRange;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.Counter$Container;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.DynamicClassLoader;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.Strings;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.crypto.DefaultCipherProvider;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.JVM;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.OrderedNumeric;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.ConcatenatedLists;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.codec.KeyValueCodecWithTags$KeyValueEncoder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder$FastDiffCompressionState;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.test.RedundantKVGenerator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.ByteRangeUtils;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.CellComparator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.Union4;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.Union2;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.Union3;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.compress.Compression$FinishOnFlushCompressionStream;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.RawBytesFixedLength;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.SimpleMutableByteRange;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.Tag;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.ImmutableBytesWritable$Comparator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.AuthUtil;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.PBType;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.TableName;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.MurmurHash3;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.LimitInputStream;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.RetryCounter$ExponentialBackoffPolicy;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.Hash;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$Node;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.MurmurHash;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.PairOfSameType;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.OrderedBlobVar;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.crypto.aes.AESEncryptor;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.RawDouble;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.ChecksumFactory;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.FixedLengthWrapper;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.codec.CellCodecWithTags$CellDecoder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.BoundedCompletionService$QueueingFuture;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.types.OrderedString;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.CollectionUtils;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.compress.Compression;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.HBaseInterfaceAudience;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.io.ByteBufferInputStream;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.NamespaceDescriptor$Builder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.codec.BaseDecoder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.KeyValue$KVComparator;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.util.SimplePositionedByteRange;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.codec.KeyValueCodec$KeyValueDecoder;(Ce / (Ce + Ca)) <= 0.3;none;none
ADR13;DRIFT;org.apache.hadoop.hbase.HBaseConfiguration;(Ce / (Ce + Ca)) <= 0.3;none;none
