Unit;ADR13;ADR16;Ocurrences;Class DeF
org.apache.hadoop.hbase.AuthUtil;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.BaseConfigurable;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.CellComparator;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.CellComparator$RowComparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.CellUtil;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.Chore;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.CompoundConfiguration;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.HBaseConfiguration;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.HBaseIOException;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.HBaseInterfaceAudience;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.HConstants;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.KeyValue;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.KeyValue$KVComparator;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.KeyValue$KeyOnlyKeyValue;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.KeyValue$MetaComparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.KeyValue$RawBytesComparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.KeyValue$RowOnlyComparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.KeyValueTestUtil;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.KeyValueUtil;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.NamespaceDescriptor;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.NamespaceDescriptor$Builder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.TableName;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.Tag;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.TagType;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.BaseDecoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.BaseEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CellCodec;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CellCodec$CellDecoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CellCodec$CellEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CellCodecWithTags;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CellCodecWithTags$CellDecoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CellCodecWithTags$CellEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.CodecException;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.KeyValueCodec;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.KeyValueCodec$KeyValueDecoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.KeyValueCodec$KeyValueEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.KeyValueCodecWithTags;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.KeyValueCodecWithTags$KeyValueDecoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.codec.KeyValueCodecWithTags$KeyValueEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.ByteBufferInputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.ByteBufferOutputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.ImmutableBytesWritable;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.ImmutableBytesWritable$Comparator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.LimitInputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.TagCompressionContext;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.TimeRange;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.compress.Compression;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.compress.Compression$FinishOnFlushCompressionStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream$ResetableGZIPOutputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.crypto.Cipher;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.crypto.Context;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.crypto.DefaultCipherProvider;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.crypto.Encryption;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.crypto.Encryption$Context;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.crypto.KeyStoreKeyProvider;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.crypto.aes.AES;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.crypto.aes.AESDecryptor;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.crypto.aes.AESEncryptor;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder;1.0;0.0;1.0;0.5
