Unit;ADR06;ADR08;ADR13;ADR15;Ocurrences;Class DeF
org.apache.hadoop.hbase.ChoreService;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.ScheduledChore;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.codec.BaseDecoder;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.io.crypto.Encryption;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$BufferedEncodedSeeker;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.security.User;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.security.User$SecureHadoopUser;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.util.Base64;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.hadoop.hbase.util.Bytes;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.hadoop.hbase.util.Bytes$LexicographicalComparerHolder;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.util.ChecksumFactory;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.util.JVM;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.hadoop.hbase.AuthUtil;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.HBaseConfiguration;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.compress.Compression;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.crypto.KeyStoreKeyProvider;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.crypto.aes.AES;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.crypto.aes.AESDecryptor;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.crypto.aes.AESEncryptor;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.encoding.EncodedDataBlock;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.encoding.HFileBlockDefaultEncodingContext;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.hadoopbackport.ThrottledInputStream;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.io.hfile.HFileContext;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.trace.SpanReceiverHost;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.util.Addressing;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.util.Base64$Base64InputStream;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.util.ByteBufferArray;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.util.CoprocessorClassLoader;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.util.DynamicClassLoader;0.0;1.0;1.0;1.0;3.0;0.75
org.apache.hadoop.hbase.util.JenkinsHash;0.0;1.0;1.0;1.0;3.0;0.75
