Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.hadoop.hbase.util.Methods;34.0;0.0;22.0;1.0;8.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;18.0;2.0;22.0;6.0;30.0;5.0;2.0;20.0;0.0;19.0;0.0;9.0;2.0;4.0;1.0;5.0;7.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.security.UserProvider;152.0;0.0;42.0;2.0;32.0;14.0;34.0;0.8333333333333334;0.9375;4.0;0.0;9.0;9.0;35.0;4.0;41.0;23.0;54.0;3.0;2.0;1.0;0.0;7.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;3.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.OrderedInt64;39.0;0.0;21.0;2.0;9.0;8.0;20.0;1.0;1.1666666666666667;2.0;2.0;7.0;7.0;5.0;1.0;17.0;15.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.test.LoadTestKVGenerator;85.0;0.0;19.0;1.0;17.0;10.0;6.0;0.75;1.0;5.0;0.0;4.0;3.0;17.0;0.0;0.0;16.0;12.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;36.0;0.0;13.0;1.0;12.0;6.0;0.0;0.0;0.0;1.0;0.0;6.0;6.0;7.0;2.0;13.0;12.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;52.0;0.0;13.0;2.0;9.0;6.0;0.0;0.25;0.3333333333333333;3.0;1.0;4.0;3.0;19.0;3.0;13.0;10.0;15.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.FastLongHistogram$Bins;179.0;0.0;14.0;1.0;13.0;36.0;4.0;0.6;0.75;9.0;0.0;5.0;2.0;28.0;0.0;0.0;41.0;73.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.StructBuilder;22.0;0.0;13.0;1.0;7.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;5.0;1.0;9.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.AsyncConsoleAppender;18.0;0.0;10.0;3.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;5.0;1.0;11.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.RetryCounterFactory;22.0;0.0;10.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;3.0;1.0;11.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
