Unit;CPT01;
org.apache.hadoop.hbase.ArrayBackedTag;X;
org.apache.hadoop.hbase.AsyncConsoleAppender;X;
org.apache.hadoop.hbase.AuthUtil;X;
org.apache.hadoop.hbase.BBKVComparator;X;
org.apache.hadoop.hbase.BaseConfigurable;X;
org.apache.hadoop.hbase.ByteBufferExtendedCell;X;
org.apache.hadoop.hbase.ByteBufferKeyOnlyKeyValue;X;
org.apache.hadoop.hbase.ByteBufferKeyValue;X;
org.apache.hadoop.hbase.ByteBufferTag;X;
org.apache.hadoop.hbase.Cell;X;
org.apache.hadoop.hbase.CellBuilder;X;
org.apache.hadoop.hbase.CellBuilderFactory;X;
org.apache.hadoop.hbase.CellComparator;X;
org.apache.hadoop.hbase.CellComparatorImpl;X;
org.apache.hadoop.hbase.CellComparatorImpl$MetaCellComparator;X;
org.apache.hadoop.hbase.CellScannable;X;
org.apache.hadoop.hbase.CellScanner;X;
org.apache.hadoop.hbase.CellUtil;X;
org.apache.hadoop.hbase.ChoreService;X;
org.apache.hadoop.hbase.ChoreService$ChoreServiceThreadFactory;X;
org.apache.hadoop.hbase.CompoundConfiguration;X;
org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;X;
org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfigMap;X;
org.apache.hadoop.hbase.ExtendedCell;X;
org.apache.hadoop.hbase.ExtendedCellBuilder;X;
org.apache.hadoop.hbase.ExtendedCellBuilderFactory;X;
org.apache.hadoop.hbase.ExtendedCellBuilderImpl;X;
org.apache.hadoop.hbase.HBaseConfiguration;X;
org.apache.hadoop.hbase.HBaseIOException;X;
org.apache.hadoop.hbase.HBaseInterfaceAudience;X;
org.apache.hadoop.hbase.HConstants;X;
org.apache.hadoop.hbase.IndividualBytesFieldCell;X;
org.apache.hadoop.hbase.IndividualBytesFieldCellBuilder;X;
org.apache.hadoop.hbase.JitterScheduledThreadPoolExecutorImpl;X;
org.apache.hadoop.hbase.JitterScheduledThreadPoolExecutorImpl$JitteredRunnableScheduledFuture;X;
org.apache.hadoop.hbase.KeyValue;X;
org.apache.hadoop.hbase.KeyValue$KVComparator;X;
org.apache.hadoop.hbase.KeyValue$KeyOnlyKeyValue;X;
org.apache.hadoop.hbase.KeyValue$MetaComparator;X;
org.apache.hadoop.hbase.KeyValue$SamePrefixComparator;X;
org.apache.hadoop.hbase.KeyValueBuilder;X;
org.apache.hadoop.hbase.KeyValueTestUtil;X;
org.apache.hadoop.hbase.KeyValueUtil;X;
org.apache.hadoop.hbase.NamespaceDescriptor;X;
org.apache.hadoop.hbase.NamespaceDescriptor$Builder;X;
org.apache.hadoop.hbase.NoTagsByteBufferKeyValue;X;
org.apache.hadoop.hbase.NoTagsKeyValue;X;
org.apache.hadoop.hbase.PrivateCellUtil;X;
org.apache.hadoop.hbase.PrivateCellUtil$EmptyByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$EmptyCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowColByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowColCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowColTSByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowColTSCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowDeleteFamilyCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$LastOnRowByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$LastOnRowCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$LastOnRowColByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$LastOnRowColCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$TagRewriteByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$TagRewriteCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$ValueAndTagRewriteByteBufferExtendedCell;X;
org.apache.hadoop.hbase.PrivateCellUtil$ValueAndTagRewriteCell;X;
org.apache.hadoop.hbase.RawCell;X;
org.apache.hadoop.hbase.RawCellBuilder;X;
org.apache.hadoop.hbase.RawCellBuilderFactory;X;
org.apache.hadoop.hbase.ScheduledChore;X;
org.apache.hadoop.hbase.ScheduledChore$ChoreServicer;X;
org.apache.hadoop.hbase.ServerName;X;
org.apache.hadoop.hbase.ServiceNotRunningException;X;
org.apache.hadoop.hbase.SizeCachedKeyValue;X;
org.apache.hadoop.hbase.SizeCachedNoTagsKeyValue;X;
org.apache.hadoop.hbase.Stoppable;X;
org.apache.hadoop.hbase.TableName;X;
org.apache.hadoop.hbase.Tag;X;
org.apache.hadoop.hbase.TagType;X;
org.apache.hadoop.hbase.TagUtil;X;
org.apache.hadoop.hbase.codec.BaseDecoder;X;
org.apache.hadoop.hbase.codec.BaseDecoder$PBIS;X;
org.apache.hadoop.hbase.codec.BaseEncoder;X;
org.apache.hadoop.hbase.codec.CellCodec;X;
org.apache.hadoop.hbase.codec.CellCodec$CellDecoder;X;
org.apache.hadoop.hbase.codec.CellCodec$CellEncoder;X;
org.apache.hadoop.hbase.codec.CellCodecWithTags;X;
org.apache.hadoop.hbase.codec.CellCodecWithTags$CellDecoder;X;
